year,province,track,score,min_rank,max_rank,same_score_count,source_url,source_name
2025,北京,普通类,698,1,113,113,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,697,114,136,23,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,696,137,148,12,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,695,149,169,21,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,694,170,186,17,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,693,187,201,15,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,692,202,228,27,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,691,229,256,28,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,690,257,277,21,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,689,278,303,26,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,688,304,340,37,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,687,341,385,45,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,686,386,419,34,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,685,420,461,42,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,684,462,503,42,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,683,504,551,48,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,682,552,589,38,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,681,590,639,50,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,680,640,685,46,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,679,686,742,57,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,678,743,807,65,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,677,808,861,54,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,676,862,911,50,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,675,912,974,63,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,674,975,1029,55,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,673,1030,1088,59,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,672,1089,1157,69,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,671,1158,1244,87,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,670,1245,1328,84,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,669,1329,1395,67,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,668,1396,1474,79,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,667,1475,1552,78,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,666,1553,1630,78,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,665,1631,1732,102,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,664,1733,1800,68,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,663,1801,1882,82,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,662,1883,1961,79,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,661,1962,2059,98,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,660,2060,2153,94,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,659,2154,2246,93,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,658,2247,2331,85,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,657,2332,2445,114,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,656,2446,2540,95,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,655,2541,2652,112,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,654,2653,2767,115,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,653,2768,2889,122,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,652,2890,2999,110,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,651,3000,3101,102,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,650,3102,3203,102,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,649,3204,3332,129,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,648,3333,3461,129,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,647,3462,3590,129,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,646,3591,3712,122,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,645,3713,3841,129,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,644,3842,3976,135,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,643,3977,4102,126,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,642,4103,4245,143,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
