year,province,track,batch,school_name,school_code,major_group,major_name,plan_type,min_score,min_rank,admit_count,source_url,source_name,notes
2023,广东,历史类,本科批,北京大学,10001,202,,普通类,670,31,24,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国人民大学,10002,201,,普通类,653,149,53,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,清华大学,10003,201,,普通类,674,14,3,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京交通大学,10004,201,,普通类,598,3640,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京交通大学,10004,202,,普通类,602,3143,9,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京航空航天大学,10006,201,,普通类,626,999,7,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京理工大学,10007,201,,普通类,613,1910,12,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京化工大学,10010,201,,普通类,584,5950,13,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京服装学院,10012,201,,普通类,531,23040,4,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京印刷学院,10015,201,,普通类,540,19058,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国农业大学(中外合作办学),10019,205,,中外合作,596,3919,6,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京林业大学,10022,201,,普通类,577,7400,22,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京林业大学,10022,202,,普通类,592,4588,3,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京中医药大学,10026,201,,普通类,581,6509,4,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京师范大学,10027,201,,普通类,642,390,17,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京师范大学,10027,208,,普通类,635,629,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,首都师范大学,10028,201,,普通类,588,5109,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,首都师范大学,10028,202,,普通类,588,5106,4,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,首都体育学院,10029,201,,普通类,538,19960,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京外国语大学,10030,202,,普通类,608,2441,18,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京外国语大学,10030,203,,普通类,620,1359,3,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京第二外国语学院,10031,201,,普通类,579,7007,3,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京第二外国语学院,10031,202,,普通类,561,11480,14,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京第二外国语学院,10031,203,,普通类,580,6730,3,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京语言大学,10032,201,,普通类,581,6480,4,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京语言大学,10032,202,,普通类,579,7001,8,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京语言大学,10032,203,,普通类,603,3011,1,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国传媒大学,10033,202,,普通类,603,2913,18,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国传媒大学(中外合作办学),10033,204,,中外合作,605,2720,4,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中央财经大学,10034,202,,普通类,614,1806,34,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,对外经济贸易大学,10036,201,,普通类,613,1904,38,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京物资学院,10037,201,,普通类,531,23015,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,首都经济贸易大学,10038,201,,普通类,574,8105,4,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京体育大学,10043,201,,普通类,573,8334,8,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京体育大学(中外合作办学),10043,208,,中外合作,501,39343,4,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京体育大学,10043,211,,普通类,571,8867,3,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中央美术学院,10047,201,,普通类,606,2645,1,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中央戏剧学院,10048,201,,普通类,572,8502,18,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国戏曲学院,10049,201,,普通类,557,12737,5,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,北京电影学院,10050,201,,普通类,583,6150,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中央民族大学,10052,201,,普通类,604,2871,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中央民族大学,10052,202,,普通类,604,2858,29,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国政法大学,10053,201,,普通类,612,2031,4,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国政法大学,10053,202,,普通类,608,2416,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国政法大学,10053,203,,普通类,621,1334,53,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国政法大学,10053,204,,普通类,613,1962,8,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,华北电力大学(北京),10054,201,,普通类,589,5050,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,华北电力大学(北京),10054,202,,普通类,585,5821,6,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,南开大学,10055,201,,普通类,630,846,28,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,天津科技大学,10057,201,,普通类,531,22870,6,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,天津科技大学(中外合作办学),10057,206,,中外合作,531,22911,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国民航大学,10059,201,,普通类,549,15455,8,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,中国民航大学,10059,203,,普通类,547,16297,1,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,天津中医药大学,10063,201,,普通类,553,14244,1,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,天津中医药大学,10063,202,,普通类,574,8090,4,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,天津中医药大学,10063,207,,普通类,548,16032,2,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
2023,广东,历史类,本科批,天津师范大学,10065,201,,普通类,564,10687,19,https://eea.gd.gov.cn/ptgk/content/post_4221648.html,广东省教育考试院,
