year,province,track,batch,school_name,school_code,major_group,major_name,plan_type,min_score,min_rank,admit_count,source_url,source_name,notes
2023,上海,普通类,本科普通批,复旦大学,10101,01,,普通类,580,2393,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,复旦大学,10102,02,,普通类,580,2393,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,复旦大学,10103,03,,普通类,580,2393,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海交大,10201,01,,普通类,580,2393,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,同济大学,10301,01,,普通类,580,2393,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,同济大学,10302,02,,普通类,571,3741,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东师大,10401,01,,普通类,569,4096,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东师大,10402,02,,普通类,569,4096,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东师大,10403,03,,普通类,573,3404,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东师大,10404,04,,普通类,573,3404,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东理工,10501,01,,普通类,553,7041,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东理工,10502,02,,普通类,554,6846,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东理工,10503,03,,普通类,545,8712,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,东华大学,10601,01,,普通类,541,9655,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,东华大学,10602,02,,普通类,545,8712,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,东华大学,10603,03,,普通类,546,8464,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,东华大学,10604,04,,普通类,543,9179,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海财大,10701,01,,普通类,567,4425,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海财大,10702,02,,普通类,566,4600,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海财大,10703,03,,普通类,568,4260,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海外大,10801,01,,普通类,557,6238,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海外大,10802,02,,普通类,562,5270,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海海事,10901,01,,普通类,523,13919,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海海事,10902,02,,普通类,502,19158,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海海事,10903,03,,普通类,499,19921,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海海事,10904,04,,普通类,503,18898,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海理工,11001,01,,普通类,541,9655,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海理工,11002,02,,普通类,523,13919,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海理工,11003,03,,普通类,523,13919,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海理工,11004,04,,普通类,509,17377,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海杉达,11101,01,,普通类,431,35904,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海杉达,11102,02,,普通类,424,37331,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海杉达,11103,03,,普通类,441,33766,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海杉达,11104,04,,普通类,414,39247,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东政法,11201,01,,普通类,564,4910,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东政法,11202,02,,普通类,548,8061,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东政法,11203,03,,普通类,527,12910,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,华东政法,11204,04,,普通类,540,9864,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上经贸大,11301,01,,普通类,539,10105,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上经贸大,11302,02,,普通类,520,14672,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上经贸大,11303,03,,普通类,518,15161,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上经贸大,11304,04,,普通类,522,14182,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,复旦医学,11401,01,,普通类,580,2393,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海海大,11501,01,,普通类,500,19672,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海海大,11502,02,,普通类,498,20181,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海海大,11503,03,,普通类,501,19420,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海海大,11504,04,,普通类,492,21695,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海海大,11505,05,,普通类,487,22878,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海海大,11506,06,,普通类,486,23115,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海戏剧,11601,01,,普通类,526,13152,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
2023,上海,普通类,本科普通批,上海电力,11701,01,,普通类,522,14182,,https://www.shmeea.edu.cn/download/20230721/11115.pdf,上海市教育考试院,
