year,province,track,score,min_rank,max_rank,same_score_count,source_url,source_name
2025,浙江,普通类,693,1,343,343,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,692,344,395,52,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,691,396,446,51,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,690,447,513,67,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,689,514,593,80,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,688,594,667,74,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,687,668,747,80,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,686,748,857,110,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,685,858,957,100,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,684,958,1093,136,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,683,1094,1228,135,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,682,1229,1346,118,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,681,1347,1472,126,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,680,1473,1617,145,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,679,1618,1762,145,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,678,1763,1934,172,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,677,1935,2117,183,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,676,2118,2314,197,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,675,2315,2541,227,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,674,2542,2741,200,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,673,2742,2969,228,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,672,2970,3184,215,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,671,3185,3437,253,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
