order,school_name,province,city,level,ownership,scope_source,scope_url,source_updated
1,中山大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
2,暨南大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
3,汕头大学,广东,汕头,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
4,华南理工大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
5,华南农业大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
6,广东海洋大学,广东,湛江,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
7,广州医科大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
8,广东医科大学,广东,湛江,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
9,广州中医药大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
10,广东药科大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
11,华南师范大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
12,韶关学院,广东,韶关,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
13,惠州学院,广东,惠州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
14,韩山师范学院,广东,潮州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
15,岭南师范学院,广东,湛江,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
16,肇庆学院,广东,肇庆,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
17,嘉应学院,广东,梅州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
18,广州体育学院,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
19,广州美术学院,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
20,星海音乐学院,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
21,广东技术师范大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
22,深圳大学,广东,深圳,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
23,广东财经大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
24,广州大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
25,广州航海学院,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
26,广东警官学院,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
27,仲恺农业工程学院,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
28,五邑大学,广东,江门,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
29,广东金融学院,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
30,广东石油化工学院,广东,茂名,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
31,东莞理工学院,广东,东莞,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
32,广东工业大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
33,广东外语外贸大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
34,佛山大学,广东,佛山,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
35,南方医科大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
36,广东第二师范学院,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
37,南方科技大学,广东,深圳,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
38,深圳技术大学,广东,深圳,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
39,顺德职业技术大学,广东,佛山,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
40,广东轻工职业技术大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
41,深圳职业技术大学,广东,深圳,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
42,广州职业技术大学,广东,广州,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
43,深圳信息职业技术大学,广东,深圳,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
44,肇庆医学院,广东,肇庆,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
45,深圳理工大学,广东,深圳,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
46,大湾区大学,广东,东莞,本科,公办,大学生必备网广东公办本科清单,https://www.dxsbb.com/news/51305.html,2026-06-18
