province,year,dataset,track,article_title,article_url,attachment_url,file_type,status,importer,notes
江苏,2025,rank_table,物理类,江苏省2025年普通高考第一阶段逐分段统计表,https://www.jseea.cn/webfile/index/index_zkxx/2025-06-24/7343234265133355008.html,http://www.jseea.cn/webfile/upload/2025/06-24/19-09-070773-818991274.jpg,jpg,discovered,ocr_rank_image_macos,普通类物理等科目类逐分段图片 已 dry-run 测试 OCR 默认参数仍有缺行需人工校验
江苏,2025,rank_table,历史类,江苏省2025年普通高考第一阶段逐分段统计表,https://www.jseea.cn/webfile/index/index_zkxx/2025-06-24/7343234265133355008.html,http://www.jseea.cn/webfile/upload/2025/06-24/19-09-080264-1984111850.jpg,jpg,discovered,ocr_rank_image_macos,普通类历史等科目类逐分段图片
江苏,2024,rank_table,物理类,江苏省2024年普通高考逐分段统计表（第一阶段）,https://www.jseea.cn/webfile/index/index_zkxx/2024-06-24/7210960924591525888.html,"http://www.jseea.cn/webfile/upload/2024/06-24/19-00-410503-277183924.jpg | http://www.jseea.cn/webfile/upload/2024/06-24/19-00-410522-1780154283.jpg",jpg,discovered,ocr_rank_image_macos,普通类物理等科目类逐分段图片分两张
江苏,2024,rank_table,历史类,江苏省2024年普通高考逐分段统计表（第一阶段）,https://www.jseea.cn/webfile/index/index_zkxx/2024-06-24/7210960924591525888.html,"http://www.jseea.cn/webfile/upload/2024/06-24/19-00-410423916333379.jpg | http://www.jseea.cn/webfile/upload/2024/06-24/19-00-410432261286875.jpg",jpg,discovered,ocr_rank_image_macos,普通类历史等科目类逐分段图片分两张
江苏,2023,rank_table,物理类,江苏省2023年普通高考逐分段统计表（第一阶段）,MISSING,MISSING,jpg,needs_discovery,ocr_rank_image_macos,官网当前栏目未定位到第一阶段逐分段页面 第二阶段页面不能替代本科批基线
江苏,2023,rank_table,历史类,江苏省2023年普通高考逐分段统计表（第一阶段）,MISSING,MISSING,jpg,needs_discovery,ocr_rank_image_macos,官网当前栏目未定位到第一阶段逐分段页面 第二阶段页面不能替代本科批基线
江苏,2025,admission_cutoff,物理类,江苏省2025年普通高校招生普通类本科批次平行志愿投档线（物理等科目类）,https://www.jseea.cn/webfile/index/index_zkxx/2025-07-18/7351781448019349504.html,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,pdf,discovered,pdf_table_to_csv,普通类本科批次平行志愿投档线
江苏,2025,admission_cutoff,历史类,江苏省2025年普通高校招生普通类本科批次平行志愿投档线（历史等科目类）,https://www.jseea.cn/webfile/index/index_zkxx/2025-07-18/7351781284785426432.html,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,pdf,discovered,pdf_table_to_csv,普通类本科批次平行志愿投档线
江苏,2024,admission_cutoff,历史类,江苏省2024年普通类本科批次平行志愿投档线,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls,xls,discovered,soffice_to_csv_then_normalize_data,普通类本科批次平行志愿投档线
江苏,2024,admission_cutoff,物理类,江苏省2024年普通类本科批次平行志愿投档线,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls,xls,discovered,soffice_to_csv_then_normalize_data,普通类本科批次平行志愿投档线
江苏,2023,admission_cutoff,物理类,江苏省2023年普通类本科批次平行志愿投档线,https://www.jseea.cn/webfile/index/index_zkxx/2023-07-18/7086888854866628608.html,https://www.jseea.cn/webfile/upload/2023/07-18/10-05-510166-183377989.xls,xls,discovered,soffice_to_csv_then_normalize_data,普通类本科批次平行志愿投档线
江苏,2023,admission_cutoff,历史类,江苏省2023年普通类本科批次平行志愿投档线,https://www.jseea.cn/webfile/index/index_zkxx/2023-07-18/7086888854866628608.html,https://www.jseea.cn/webfile/upload/2023/07-18/10-05-510148-1404562985.xls,xls,discovered,soffice_to_csv_then_normalize_data,普通类本科批次平行志愿投档线
